platform,department,title,category,file_type,relative_path
OneDrive,IT,Password And Account Policy,Policy,DOCX,onedrive/Enterprise Knowledge Base/IT/password_and_account_policy.docx
OneDrive,IT,VPN Access Runbook,Runbook,PDF,onedrive/Enterprise Knowledge Base/IT/vpn_access_runbook.pdf
OneDrive,IT,Device Setup Checklist,Checklist,DOCX,onedrive/Enterprise Knowledge Base/IT/device_setup_checklist.docx
OneDrive,IT,Software Request Standard,Standard,PDF,onedrive/Enterprise Knowledge Base/IT/software_request_standard.pdf
OneDrive,IT,Email Security Guide,Guide,DOCX,onedrive/Enterprise Knowledge Base/IT/email_security_guide.docx
OneDrive,IT,Knowledge Base Admin SOP,SOP,PDF,onedrive/Enterprise Knowledge Base/IT/knowledge_base_admin_sop.pdf
OneDrive,IT,Azure Cost Safety Notes,Notes,DOCX,onedrive/Enterprise Knowledge Base/IT/azure_cost_safety_notes.docx
OneDrive,IT,Incident Ticket Triage,Procedure,PDF,onedrive/Enterprise Knowledge Base/IT/incident_ticket_triage.pdf
OneDrive,HR,Leave Policy 2026,Policy,DOCX,onedrive/Enterprise Knowledge Base/HR/leave_policy_2026.docx
OneDrive,HR,Employee Onboarding Handbook,Handbook,PDF,onedrive/Enterprise Knowledge Base/HR/employee_onboarding_handbook.pdf
OneDrive,HR,Expense Claim Guide,Guide,DOCX,onedrive/Enterprise Knowledge Base/HR/expense_claim_guide.docx
OneDrive,HR,Performance Review Cycle,Procedure,PDF,onedrive/Enterprise Knowledge Base/HR/performance_review_cycle.pdf
OneDrive,HR,Remote Work Arrangement,Policy,DOCX,onedrive/Enterprise Knowledge Base/HR/remote_work_arrangement.docx
OneDrive,HR,Training Reimbursement SOP,SOP,PDF,onedrive/Enterprise Knowledge Base/HR/training_reimbursement_sop.pdf
OneDrive,HR,Disciplinary Process Guide,Guide,DOCX,onedrive/Enterprise Knowledge Base/HR/disciplinary_process_guide.docx
OneDrive,HR,Benefits FAQ,FAQ,PDF,onedrive/Enterprise Knowledge Base/HR/benefits_faq.pdf
OneDrive,ENGINEERING,Coding Standards,Standard,DOCX,onedrive/Enterprise Knowledge Base/ENGINEERING/coding_standards.docx
OneDrive,ENGINEERING,Release Management SOP,SOP,PDF,onedrive/Enterprise Knowledge Base/ENGINEERING/release_management_sop.pdf
OneDrive,ENGINEERING,API Design Guide,Guide,DOCX,onedrive/Enterprise Knowledge Base/ENGINEERING/api_design_guide.docx
OneDrive,ENGINEERING,Model Evaluation Notes,Notes,PDF,onedrive/Enterprise Knowledge Base/ENGINEERING/model_evaluation_notes.pdf
OneDrive,ENGINEERING,Data Pipeline Runbook,Runbook,DOCX,onedrive/Enterprise Knowledge Base/ENGINEERING/data_pipeline_runbook.docx
OneDrive,ENGINEERING,Secure Code Review Checklist,Checklist,PDF,onedrive/Enterprise Knowledge Base/ENGINEERING/secure_code_review_checklist.pdf
OneDrive,ENGINEERING,Frontend UI Quality Standard,Standard,DOCX,onedrive/Enterprise Knowledge Base/ENGINEERING/frontend_ui_quality_standard.docx
OneDrive,ENGINEERING,RAG Architecture Decision Record,ADR,PDF,onedrive/Enterprise Knowledge Base/ENGINEERING/rag_architecture_decision_record.pdf
OneDrive,SECURITY,Access Control Policy,Policy,DOCX,onedrive/Enterprise Knowledge Base/SECURITY/access_control_policy.docx
OneDrive,SECURITY,Incident Response Playbook,Playbook,PDF,onedrive/Enterprise Knowledge Base/SECURITY/incident_response_playbook.pdf
OneDrive,SECURITY,Data Classification Standard,Standard,DOCX,onedrive/Enterprise Knowledge Base/SECURITY/data_classification_standard.docx
OneDrive,SECURITY,Phishing Simulation Procedure,Procedure,PDF,onedrive/Enterprise Knowledge Base/SECURITY/phishing_simulation_procedure.pdf
OneDrive,SECURITY,Vendor Security Review,Checklist,DOCX,onedrive/Enterprise Knowledge Base/SECURITY/vendor_security_review.docx
OneDrive,SECURITY,Key Management Notes,Notes,PDF,onedrive/Enterprise Knowledge Base/SECURITY/key_management_notes.pdf
OneDrive,SECURITY,Physical Security Guide,Guide,DOCX,onedrive/Enterprise Knowledge Base/SECURITY/physical_security_guide.docx
OneDrive,SECURITY,Security Awareness FAQ,FAQ,PDF,onedrive/Enterprise Knowledge Base/SECURITY/security_awareness_faq.pdf
OneDrive,OPERATIONS,Service Escalation SOP,SOP,DOCX,onedrive/Enterprise Knowledge Base/OPERATIONS/service_escalation_sop.docx
OneDrive,OPERATIONS,Business Continuity Plan,Plan,PDF,onedrive/Enterprise Knowledge Base/OPERATIONS/business_continuity_plan.pdf
OneDrive,OPERATIONS,Shift Handover Checklist,Checklist,DOCX,onedrive/Enterprise Knowledge Base/OPERATIONS/shift_handover_checklist.docx
OneDrive,OPERATIONS,Customer SLA Reference,Reference,PDF,onedrive/Enterprise Knowledge Base/OPERATIONS/customer_sla_reference.pdf
OneDrive,OPERATIONS,Change Advisory Board Notes,Notes,DOCX,onedrive/Enterprise Knowledge Base/OPERATIONS/change_advisory_board_notes.docx
OneDrive,OPERATIONS,Knowledge Article Quality Guide,Guide,PDF,onedrive/Enterprise Knowledge Base/OPERATIONS/knowledge_article_quality_guide.pdf
OneDrive,OPERATIONS,Operational Risk Register,Register,DOCX,onedrive/Enterprise Knowledge Base/OPERATIONS/operational_risk_register.docx
OneDrive,OPERATIONS,Facilities Request Guide,Guide,PDF,onedrive/Enterprise Knowledge Base/OPERATIONS/facilities_request_guide.pdf
OneNote,IT,Password Reset Quick Notes,Quick Notes,MD,onenote/Enterprise Knowledge Base/IT/Quick Notes/password_reset_quick_notes.md
OneNote,IT,VPN Troubleshooting Cases,Runbook Notes,MD,onenote/Enterprise Knowledge Base/IT/Runbook Notes/vpn_troubleshooting_cases.md
